,MEGA_NM,MEGA_CD,CTY_CD,CTY_NM,X_AXIS,Y_AXIS,TOTAL,종합전문병,한방병원,치과병원,한의원,조산원,일반병원,요양병원,의원,치과의원,종합병원,소유권
4623,서울특별시,11,1135,노원구,317250,563050,75,0,0,0,25,0,0,0,25,25,0,GIS United INC.
4624,서울특별시,11,1129,성북구,313850,556050,75,0,0,0,0,0,0,0,50,25,0,GIS United INC.
4625,서울특별시,11,1159,동작구,307450,545250,50,0,0,0,0,0,0,0,50,0,0,GIS United INC.
4626,서울특별시,11,1174,강동구,322650,547750,50,0,25,0,0,0,0,0,25,0,0,GIS United INC.
4627,서울특별시,11,1130,강북구,314650,560450,50,0,0,0,0,0,0,0,50,0,0,GIS United INC.
4628,서울특별시,11,1147,양천구,297450,546950,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4629,서울특별시,11,1171,송파구,321250,546550,125,0,0,0,25,0,0,0,25,75,0,GIS United INC.
4630,서울특별시,11,1123,동대문구,317350,555750,50,0,0,0,25,0,0,0,25,0,0,GIS United INC.
4631,서울특별시,11,1144,마포구,303750,551150,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4632,서울특별시,11,1165,서초구,313050,544150,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4633,서울특별시,11,1123,동대문구,314050,552950,75,0,0,0,25,0,0,0,25,25,0,GIS United INC.
4634,서울특별시,11,1135,노원구,317650,561850,50,0,0,0,0,0,0,0,25,25,0,GIS United INC.
4635,서울특별시,11,1123,동대문구,316350,552450,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4636,서울특별시,11,1123,동대문구,316850,553350,50,0,0,0,0,0,0,0,50,0,0,GIS United INC.
4637,서울특별시,11,1147,양천구,299850,550150,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4638,서울특별시,11,1144,마포구,303550,551150,150,0,0,0,50,0,0,0,25,75,0,GIS United INC.
4639,서울특별시,11,1162,관악구,305850,542350,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4640,서울특별시,11,1165,서초구,315350,542950,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4641,서울특별시,11,1156,영등포구,304950,547150,50,0,0,0,0,0,0,0,25,25,0,GIS United INC.
4642,서울특별시,11,1123,동대문구,317850,553250,75,0,0,0,25,0,0,0,25,25,0,GIS United INC.
4643,서울특별시,11,1129,성북구,316850,556850,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4644,서울특별시,11,1121,광진구,319850,550950,75,0,0,0,0,0,0,0,50,25,0,GIS United INC.
4645,서울특별시,11,1150,강서구,295350,552650,50,0,0,0,25,0,0,0,25,0,0,GIS United INC.
4646,서울특별시,11,1129,성북구,312650,556750,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4647,서울특별시,11,1162,관악구,308050,543350,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4648,서울특별시,11,1156,영등포구,304050,545350,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4649,서울특별시,11,1153,구로구,301950,545350,75,0,0,0,0,0,0,0,50,25,0,GIS United INC.
4650,서울특별시,11,1135,노원구,318950,558250,100,0,0,0,0,0,0,0,50,50,0,GIS United INC.
4651,서울특별시,11,1165,서초구,314950,542750,125,0,0,0,50,0,0,0,50,25,0,GIS United INC.
4652,서울특별시,11,1168,강남구,314550,546850,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4653,서울특별시,11,1117,용산구,309650,547050,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4654,서울특별시,11,1171,송파구,322350,548750,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4655,서울특별시,11,1168,강남구,317050,545650,75,0,0,0,0,0,0,0,25,50,0,GIS United INC.
4656,서울특별시,11,1121,광진구,318250,550850,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4657,서울특별시,11,1159,동작구,304150,544150,50,0,0,0,0,0,0,0,25,25,0,GIS United INC.
4658,서울특별시,11,1135,노원구,319250,558350,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4659,서울특별시,11,1174,강동구,322850,548050,50,0,0,0,0,0,0,0,25,25,0,GIS United INC.
