,구분,대여소번호,대여소명,대여소 주소,거치대수,lat,lon
787,성북구,1359, 장위뉴타운 꿈에 숲 코오롱 하늘채 앞,서울특별시 성북구 월계로 172,20,327473.8086042701,4165429.530261077
788,송파구,1201, 가락시장역 3번 출구,서울특별시 송파구 송파대로 지하 257,10,333675.1961183728,4151247.1216067863
789,송파구,1203, 밀리아나2빌딩 앞,서울특별시 송파구 송파대로28길 24,20,333859.86689738685,4151304.482592002
790,송파구,1204, 거여역 3번출구,서울특별시 송파구 오금로 지하 499,10,335990.4929519519,4151219.3552122205
791,송파구,1205, 종합운동장역 4번출구,서울특별시 송파구 올림픽로 8,15,329543.8271582477,4153245.600889233
792,송파구,1206, 9호선종합운동장역 9번출구,서울특별시 송파구 올림픽로 지하 23,20,330152.64762126585,4153327.605505244
793,송파구,1207, 마천CU우방점 앞,서울특별시 송파구 성내천로 233,10,336691.7637483935,4151917.4042667914
794,송파구,1208, 풍납현대아파트쉼터,서울특별시 송파구 풍성로14길 19,20,333866.03857190337,4155294.4643984954
795,송파구,1209, 잠실나루역 (2번 출구 쪽),서울특별시 송파구 오금로 20,20,332468.01823625737,4154298.6380888447
796,송파구,1210, 롯데월드타워(잠실역2번출구 쪽),서울특별시 송파구 올림픽로 293-19,30,332165.0831224754,4153491.6456305427
797,송파구,1211, 방이삼거리,서울특별시 송파구 석촌호수로 298,7,332765.6025866369,4153366.0968558122
798,송파구,1212, 송파역 2번 출구앞,서울특별시 송파구 송파대로 지하 354,10,333187.16219693364,4151948.886147783
799,송파구,1213, 백토공원 앞,서울특별시 송파구 양재대로72길 47-8,20,334961.6303213401,4152828.9158459227
800,송파구,1214, 오금역 7번 출구 인근,서울특별시 송파구 오금로 지하 321,10,334500.608902962,4152275.742951441
801,송파구,1215, 올림픽공원역 1번출구 앞,서울특별시 송파구 양재대로 지하 1233,15,334875.37642082246,4153819.767601526
802,송파구,1217, 송파파인타운 7단지,서울특별시 송파구 충민로4길 19,15,334619.87134142587,4149684.4755248
803,송파구,1218, 방이역 4번출구,서울특별시 송파구 양재대로 지하 1127,12,334354.87304036494,4152986.173196467
804,송파구,1220, 잠실본동주민센터뒤 잠실근린공원,서울특별시 송파구 백제고분로15길 7,15,330652.5902899097,4152697.109877919
805,송파구,1221, 삼전사거리 포스코더샵,서울특별시 송파구 백제고분로 188,10,330958.08117474103,4152525.274444457
806,송파구,1222, 잠실새내역 5번 출구 뒤,서울특별시 송파구 백제고분로 95,15,330756.4324887232,4153393.2167606372
807,송파구,1224, 아시아지하보도 2번 출구,서울특별시 송파구 올림픽로 74,15,330216.0931966943,4153424.9932782124
808,송파구,1226, 잠실4동 주민센터 옆,서울특별시 송파구 올림픽로35길 16,10,333188.7074406985,4154242.6253937795
809,송파구,1227, 거여역 8번출구 뒤,서울특별시 송파구 오금로 지하 499,10,335909.7416800546,4151196.860498344
810,송파구,1228, 마천사거리 ,서울특별시 송파구 거마로 51,10,336130.15698290814,4151700.2332728854
811,송파구,1229, 송파체육문화회관 앞,서울특별시 송파구 양산로 15,15,335842.958601841,4150927.557820925
812,송파구,1230, 송파중학교 정문,서울특별시 송파구 동남로 203,10,334745.68010716187,4151502.2922668043
813,송파구,1231, 잠실역 6번출구,서울특별시 송파구 석촌호수로12길 3-5,10,331996.6530880118,4153601.8340297313
814,송파구,1232, 롯데마트 주차장 옆,서울특별시 송파구 석촌호수로12길 3-19,10,331741.23509453936,4153385.1027000854
815,송파구,1233, 잠실3거리(갤러리아팰리스),서울특별시 송파구 석촌호수로12길 3-17,9,331488.2488309731,4153214.8401346384
816,송파구,1235, 잠실트리지움310동 옆,서울특별시 송파구 잠실로 62,15,331021.33781810105,4152983.437232813
817,송파구,1239, 문정 법조단지3,서울특별시 송파구 정의로 30,20,333600.5246201618,4149879.2888139086
818,송파구,1240, 문정 법조단지4,서울특별시 송파구 새말로 62,10,333649.1852491355,4149848.6784045016
819,송파구,1241, 문정 법조단지5,서울특별시 송파구 새말로 62,15,333759.3296193676,4149920.0719830724
820,송파구,1242, 문정 법조단지6,서울특별시 송파구 법원로 101,15,333756.4409660049,4150014.592576783
821,송파구,1243, 문정 법조단지7,서울특별시 송파구 법원로 101,20,333798.9884728064,4150284.6991601666
822,송파구,1244, 문정 법조단지8,서울특별시 송파구 법원로 101,7,333965.7534393916,4149949.0297090607
823,송파구,1245, 문정 법조단지9,서울특별시 송파구 법원로 101,10,334244.4858352188,4149713.4775503357
824,송파구,1246, 문정 법조단지10,서울특별시 송파구 송파대로 지하 82,30,334328.5924576785,4149494.6834915937
825,송파구,1247, 문정 법조단지11,서울특별시 송파구 법원로 101,15,334082.47846797016,4149645.2204281394
826,송파구,1248, 방이초등학교,서울특별시 송파구 위례성대로 114,20,333997.7864878035,4153547.642720907
827,송파구,1249, 아주중학교건너편,서울특별시 송파구 도곡로 446,10,330060.6112389915,4152683.7676689355
828,송파구,1250,문정2동 주민센터,서울특별시 송파구 중대로 16,10,332978.7929802092,4150913.4135746234
829,송파구,1251, 석촌역 2번출구,서울특별시 송파구 송파동 68 ,10,332749.17445806856,4152681.3137054676
830,송파구,1253, 오금역 3번 출구 뒤,서울특별시  송파구 가락동 10-15 ,10,334545.7345727922,4152170.281038005
831,송파구,1256, 문정현대아파트 교차로,서울특별시 송파구 문정동 3-2 ,8,334312.7958913626,4151007.0654726136
832,송파구,1257, 가락시장역 롯데마트앞,서울특별시 송파구 가락동 214-15 ,20,333602.6033284025,4151128.8016134617
833,송파구,1258, 가락미륭아파트 앞,서울특별시 서울 송파구 가락동 195-4,10,334599.3046773175,4151230.8050189475
