,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,PR_09,PR_10,PR_11
11507,서울특별시,11,광진구,11215,318550,550450,2480000.0,2600000.0,2640000.0
11508,서울특별시,11,광진구,11215,318450,550650,3000000.0,3130000.0,3180000.0
11509,서울특별시,11,광진구,11215,318450,551050,2400000.0,2520000.0,2556666.66667
11510,서울특별시,11,광진구,11215,318250,550650,2450000.0,2550000.0,2590000.0
11511,서울특별시,11,광진구,11215,318450,551150,5600000.0,5850000.0,5910000.0
11512,서울특별시,11,광진구,11215,319050,550550,1725000.0,1825000.0,1860000.0
11513,서울특별시,11,광진구,11215,319350,550650,4375000.0,4600000.0,4640000.0
11514,서울특별시,11,광진구,11215,319550,550350,1630000.0,1720000.0,1760000.0
11515,서울특별시,11,광진구,11215,318650,550350,4600000.0,4900000.0,4940000.0
11516,서울특별시,11,광진구,11215,317750,549150,5065000.0,5305000.0,5360000.0
11517,서울특별시,11,광진구,11215,317550,548750,4020000.0,4210000.0,4260000.0
11518,서울특별시,11,광진구,11215,317450,548450,2270000.0,2370000.0,2400000.0
11519,서울특별시,11,광진구,11215,318950,548650,2635000.0,2750000.0,2810000.0
11520,서울특별시,11,광진구,11215,318750,548850,3180000.0,3330000.0,3370000.0
11521,서울특별시,11,광진구,11215,317350,548950,4340000.0,4550000.0,4600000.0
11522,서울특별시,11,광진구,11215,318150,548450,5000000.0,5200000.0,5250000.0
11523,서울특별시,11,광진구,11215,317850,548650,2950000.0,3080000.0,3140000.0
11524,서울특별시,11,광진구,11215,318050,548450,4420000.0,4630000.0,4670000.0
11525,서울특별시,11,광진구,11215,318250,547950,2170000.0,2280000.0,2330000.0
11526,서울특별시,11,광진구,11215,318550,547950,2455000.0,2565000.0,2590000.0
11527,서울특별시,11,광진구,11215,318750,548050,2820000.0,2950000.0,2970000.0
11528,서울특별시,11,광진구,11215,318650,548150,2610000.0,2725000.0,2755000.0
11529,서울특별시,11,광진구,11215,318650,548250,3215000.0,3340000.0,3380000.0
11530,서울특별시,11,광진구,11215,318950,548450,2560000.0,2680000.0,2710000.0
11531,서울특별시,11,광진구,11215,319250,548350,3970000.0,4150000.0,4200000.0
11532,서울특별시,11,광진구,11215,319250,548150,3840000.0,4030000.0,4070000.0
11533,서울특별시,11,광진구,11215,318750,548750,3575000.0,3745000.0,3790000.0
11534,서울특별시,11,광진구,11215,319350,551950,2650000.0,2750000.0,2780000.0
11535,서울특별시,11,광진구,11215,319350,551450,2203333.33333,2300000.0,2340000.0
11536,서울특별시,11,광진구,11215,320050,551150,1870000.0,1966666.66667,2003333.33333
11537,서울특별시,11,광진구,11215,319950,551050,1720000.0,1800000.0,1830000.0
11538,서울특별시,11,광진구,11215,320150,550950,1500000.0,1600000.0,1630000.0
11539,서울특별시,11,광진구,11215,320050,550750,2165000.0,2275000.0,2305000.0
11540,서울특별시,11,광진구,11215,320050,550950,1650000.0,1750000.0,1780000.0
11541,서울특별시,11,광진구,11215,319650,550750,3650000.0,3750000.0,3800000.0
11542,서울특별시,11,광진구,11215,319450,550950,2270000.0,2400000.0,2440000.0
11543,서울특별시,11,광진구,11215,319550,550950,2620000.0,2735000.0,2775000.0
11544,서울특별시,11,광진구,11215,319350,550750,4175000.0,4350000.0,4410000.0
11545,서울특별시,11,광진구,11215,319150,550950,2825000.0,2925000.0,2970000.0
11546,서울특별시,11,광진구,11215,319750,552150,1080000.0,1150000.0,1180000.0
11547,서울특별시,11,광진구,11215,319150,552350,2300000.0,2400000.0,2435000.0
11548,서울특별시,11,광진구,11215,318950,551750,3200000.0,3300000.0,3340000.0
11549,서울특별시,11,광진구,11215,318650,551550,2220000.0,2316666.66667,2360000.0
11550,서울특별시,11,광진구,11215,318850,551250,2080000.0,2175000.0,2215000.0
11551,서울특별시,11,광진구,11215,319050,552350,1900000.0,2000000.0,2040000.0
11552,서울특별시,11,광진구,11215,318750,551150,2515000.0,2650000.0,2690000.0
11553,서울특별시,11,광진구,11215,318850,551050,4216666.66667,4416666.66667,4466666.66667
11554,서울특별시,11,광진구,11215,318950,552250,1625000.0,1725000.0,1760000.0
11555,서울특별시,11,광진구,11215,317850,549150,10000000.0,10300000.0,10450000.0
11556,서울특별시,11,광진구,11215,317950,549350,2000000.0,2100000.0,2140000.0
11557,서울특별시,11,광진구,11215,318050,549650,3650000.0,3780000.0,3830000.0
11558,서울특별시,11,광진구,11215,317950,549850,2446666.66667,2566666.66667,2610000.0
11559,서울특별시,11,광진구,11215,317850,549450,2490000.0,2620000.0,2660000.0
11560,서울특별시,11,광진구,11215,317650,549550,2490000.0,2600000.0,2640000.0
11561,서울특별시,11,광진구,11215,318650,549650,3450000.0,3615000.0,3665000.0
11562,서울특별시,11,광진구,11215,318550,549650,3266666.66667,3426666.66667,3466666.66667
11563,서울특별시,11,구로구,11530,301650,543050,3160000.0,3280000.0,3290000.0
11564,서울특별시,11,구로구,11530,302050,542950,2740000.0,2850000.0,2870000.0
11565,서울특별시,11,구로구,11530,302050,542850,3180000.0,3285000.0,3295000.0
11566,서울특별시,11,구로구,11530,301750,542950,4270000.0,4405000.0,4415000.0
11567,서울특별시,11,구로구,11530,301750,542850,5275000.0,5430000.0,5445000.0
11568,서울특별시,11,구로구,11530,297950,545250,1590000.0,1650000.0,1690000.0
11569,서울특별시,11,구로구,11530,297750,545250,1320000.0,1390000.0,1420000.0
11570,서울특별시,11,구로구,11530,298150,544850,1507500.0,1567500.0,1607500.0
11571,서울특별시,11,구로구,11530,298250,544850,2570000.0,2630000.0,2700000.0
11572,서울특별시,11,구로구,11530,298250,544750,2630000.0,2680000.0,2680000.0
11573,서울특별시,11,구로구,11530,298150,544650,1630000.0,1690000.0,1730000.0
11574,서울특별시,11,구로구,11530,298050,545550,1640000.0,1700000.0,1750000.0
