,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,TOTAL,X_AXIS,Y_AXIS
253,서울특별시,11,영등포구,11560,3,304750,547850
254,서울특별시,11,용산구,11170,1,309150,548750
255,서울특별시,11,강남구,11680,1,317250,545450
256,서울특별시,11,서초구,11650,1,310650,541950
257,서울특별시,11,구로구,11530,4,302450,543350
258,서울특별시,11,금천구,11545,2,301250,542050
259,서울특별시,11,금천구,11545,1,301750,541950
260,서울특별시,11,강남구,11680,1,314950,545950
261,서울특별시,11,용산구,11170,1,311750,548550
262,서울특별시,11,용산구,11170,1,312350,548650
263,서울특별시,11,강남구,11680,1,316450,545250
264,서울특별시,11,송파구,11710,1,318750,545750
265,서울특별시,11,서초구,11650,1,312750,542950
266,서울특별시,11,강남구,11680,1,316450,545150
267,서울특별시,11,용산구,11170,1,309550,549250
268,서울특별시,11,서초구,11650,1,312450,543950
269,서울특별시,11,중구,11140,1,310250,552050
270,서울특별시,11,서초구,11650,1,315550,542050
271,서울특별시,11,서초구,11650,1,312650,544650
272,서울특별시,11,영등포구,11560,1,304950,547950
273,서울특별시,11,강남구,11680,2,314850,544650
274,서울특별시,11,중구,11140,1,309750,551650
275,서울특별시,11,영등포구,11560,1,304550,544550
276,서울특별시,11,송파구,11710,1,323050,542650
277,서울특별시,11,구로구,11530,3,302450,543250
278,서울특별시,11,서초구,11650,2,314350,543650
279,서울특별시,11,서초구,11650,1,313550,544250
280,서울특별시,11,강남구,11680,3,313750,545850
281,서울특별시,11,금천구,11545,2,301250,541750
282,서울특별시,11,송파구,11710,1,322150,544450
283,서울특별시,11,마포구,11440,1,306850,548650
284,서울특별시,11,송파구,11710,1,321350,545950
285,서울특별시,11,강남구,11680,1,317450,545150
286,서울특별시,11,종로구,11110,1,309450,552550
287,서울특별시,11,강남구,11680,3,316850,545350
288,서울특별시,11,강남구,11680,2,317650,545650
289,서울특별시,11,관악구,11620,1,309450,542050
290,서울특별시,11,강남구,11680,3,317050,545450
291,서울특별시,11,강남구,11680,1,314850,546450
292,서울특별시,11,중구,11140,3,310650,551950
293,서울특별시,11,서초구,11650,1,311050,543550
294,서울특별시,11,노원구,11350,1,317350,561850
295,서울특별시,11,강남구,11680,1,314350,544350
296,서울특별시,11,금천구,11545,1,301550,542750
297,서울특별시,11,관악구,11620,1,308050,539850
298,서울특별시,11,강남구,11680,1,315550,542650
299,서울특별시,11,구로구,11530,1,302850,543050
300,서울특별시,11,강남구,11680,1,316450,543350
301,서울특별시,11,광진구,11215,1,318450,551350
302,서울특별시,11,마포구,11440,1,304650,550750
303,서울특별시,11,서초구,11650,1,311850,542750
304,서울특별시,11,마포구,11440,1,305350,549750
305,서울특별시,11,중구,11140,1,309750,550750
306,서울특별시,11,관악구,11620,1,307550,542050
307,서울특별시,11,구로구,11530,1,302250,544550
308,서울특별시,11,구로구,11530,1,302350,542950
309,서울특별시,11,광진구,11215,2,320250,548550
310,서울특별시,11,영등포구,11560,1,305350,547150
311,서울특별시,11,서초구,11650,1,312950,542650
312,서울특별시,11,서초구,11650,1,313750,544950
313,서울특별시,11,영등포구,11560,5,305550,547850
314,서울특별시,11,강남구,11680,3,317150,545750
315,서울특별시,11,중구,11140,1,310250,551250
316,서울특별시,11,구로구,11530,1,302350,542850
317,서울특별시,11,서초구,11650,1,312750,544950
318,서울특별시,11,서대문구,11410,1,306550,551950
319,서울특별시,11,서초구,11650,1,311250,544450
320,서울특별시,11,강남구,11680,1,313850,546650
321,서울특별시,11,송파구,11710,1,318850,545550
322,서울특별시,11,용산구,11170,1,309050,549050
323,서울특별시,11,금천구,11545,1,301050,542350
324,서울특별시,11,중구,11140,1,309250,551550
325,서울특별시,11,마포구,11440,1,307750,550050
326,서울특별시,11,중구,11140,1,309950,551550
327,서울특별시,11,강남구,11680,1,316650,547150
328,서울특별시,11,양천구,11470,1,300850,548250
329,서울특별시,11,강남구,11680,1,314250,546150
