,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,HOUS,POP,CLSS
23064,서울특별시,11,용산구,11170,309850,550650,156.53,270.94,3
23065,서울특별시,11,서초구,11650,314750,541850,12.0,35.56,10
23066,서울특별시,11,강남구,11680,314650,544950,66.62,121.7,9
23067,서울특별시,11,은평구,11380,304550,555550,209.08,627.18,4
23068,서울특별시,11,송파구,11710,323350,544250,92.64,259.42,6
23069,서울특별시,11,중구,11140,312150,551950,39.96,86.64,1
23070,서울특별시,11,영등포구,11560,302550,546350,19.76,36.36,3
23071,서울특별시,11,동작구,11590,310150,544150,27.96,63.96,6
23072,서울특별시,11,강북구,11305,314650,558750,247.0,879.21,4
23073,서울특별시,11,강서구,11500,300150,551450,4.84,10.66,4
23074,서울특별시,11,서대문구,11410,305850,551750,54.46,87.52,5
23075,서울특별시,11,도봉구,11320,315650,565250,167.59,574.52,4
23076,서울특별시,11,중랑구,11260,320250,553750,234.79,1080.32,5
23077,서울특별시,11,강남구,11680,314750,545350,183.7,452.52,8
23078,서울특별시,11,노원구,11350,317950,562650,94.84,212.69,3
23079,서울특별시,11,노원구,11350,319050,562050,180.0,524.88,3
23080,서울특별시,11,강동구,11740,324250,550850,104.0,422.17,4
23081,서울특별시,11,용산구,11170,309950,546550,80.0,244.08,8
23082,서울특별시,11,동대문구,11230,317050,552550,179.41,210.47,3
23083,서울특별시,11,금천구,11545,303550,538450,60.0,270.38,4
23084,서울특별시,11,영등포구,11560,303450,543550,13.68,20.83,4
23085,서울특별시,11,강동구,11740,326950,550950,17.84,10.66,2
23086,서울특별시,11,종로구,11110,307850,555950,5.48,10.7,5
23087,서울특별시,11,영등포구,11560,303750,547450,40.12,109.13,5
23088,서울특별시,11,성동구,11200,316450,549950,41.67,40.26,3
23089,서울특별시,11,서초구,11650,313050,544650,120.0,368.1,8
23090,서울특별시,11,강남구,11680,317150,542950,48.07,123.74,6
23091,서울특별시,11,관악구,11620,304050,543050,117.5,239.08,4
23092,서울특별시,11,노원구,11350,317650,562850,195.0,567.83,4
23093,서울특별시,11,중랑구,11260,319550,554950,7.78,5.32,5
23094,서울특별시,11,강서구,11500,298850,550250,217.1,401.7,4
23095,서울특별시,11,노원구,11350,318150,562350,140.85,198.9,4
23096,서울특별시,11,마포구,11440,306650,549950,129.76,244.83,3
23097,서울특별시,11,강동구,11740,323950,549550,218.53,197.39,4
23098,서울특별시,11,관악구,11620,307050,543750,179.04,720.27,4
23099,서울특별시,11,송파구,11710,319450,545850,100.0,363.9,6
23100,서울특별시,11,영등포구,11560,303250,545950,151.31,460.49,5
23101,서울특별시,11,은평구,11380,304750,558150,162.01,204.64,3
23102,서울특별시,11,관악구,11620,304350,541450,214.96,810.37,4
23103,서울특별시,11,강북구,11305,315750,558850,61.46,120.63,4
23104,서울특별시,11,광진구,11215,318850,548150,99.48,103.32,3
23105,서울특별시,11,용산구,11170,307850,548950,622.0,1779.86,3
23106,서울특별시,11,노원구,11350,316950,564250,82.9,183.99,4
23107,서울특별시,11,성동구,11200,317450,549850,2.19,8.31,3
23108,서울특별시,11,중랑구,11260,319350,555450,133.21,192.54,4
